Typ,ID,ID akce,ID rodiče,Hodnota Cs,Hodnota En,Od,Od (pořadí),Do,Do (pořadí)
MIS,352220,17,352219,Lublaň (Laibach),Lublaň (Laibach),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352219,17,352218,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352220,17,352219,Lublaň (Laibach),Lublaň (Laibach),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352221,18,,Augsburg,,>16950715,>16950715,ZZZZZZZZZ,.........
KOL,352222,18,352221,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352223,18,352222,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352225,18,352223,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352223,18,352222,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352225,18,352223,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352222,18,352221,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352223,18,352222,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352225,18,352223,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352223,18,352222,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352225,18,352223,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352222,18,352221,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352223,18,352222,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352225,18,352223,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352223,18,352222,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352225,18,352223,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,Tragoedia Genandt Der Wettstreit Himmlisch- und Irdischer Liebe,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352226,19,,Nördlingen,,>16950815,>16950815,>16950910,>16950910
KOL,352227,19,352226,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352228,19,352227,Nördlingen,Nördlingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352229,19,352228,Der fall des weltschrökens Attila,Der fall des weltschrökens Attila,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352228,19,352227,Nördlingen,Nördlingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352229,19,352228,Der fall des weltschrökens Attila,Der fall des weltschrökens Attila,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352227,19,352226,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352228,19,352227,Nördlingen,Nördlingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352229,19,352228,Der fall des weltschrökens Attila,Der fall des weltschrökens Attila,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352228,19,352227,Nördlingen,Nördlingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352229,19,352228,Der fall des weltschrökens Attila,Der fall des weltschrökens Attila,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352227,19,352226,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352228,19,352227,Nördlingen,Nördlingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352229,19,352228,Der fall des weltschrökens Attila,Der fall des weltschrökens Attila,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352228,19,352227,Nördlingen,Nördlingen,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
UDA,352229,19,352228,Der fall des weltschrökens Attila,Der fall des weltschrökens Attila,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352230,20,,Augsburg,,>16950917,>16950917,ZZZZZZZZZ,.........
KOL,352233,20,352230,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352234,20,352233,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352233,20,352230,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352234,20,352233,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352231,21,,Ulm,,>16951012,>16951012,ZZZZZZZZZ,.........
KOL,352232,21,352231,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352235,21,352232,Ulm,Ulm,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352232,21,352231,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352235,21,352232,Ulm,Ulm,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352236,22,,Norimberk ,,>16960326,>16960326,ZZZZZZZZZ,.........
KOL,352237,22,352236,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352238,22,352237,Norimberk (Nürnberg),Norimberk (Nürnberg),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352237,22,352236,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352238,22,352237,Norimberk (Nürnberg),Norimberk (Nürnberg),ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352239,23,,Augsburg,,>16960426,>16960426,ZZZZZZZZZ,.........
KOL,352240,23,352239,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352241,23,352240,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352240,23,352239,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352241,23,352240,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352242,24,,Augsburg,,>16960623,>16960623,ZZZZZZZZZ,.........
KOL,352243,24,352242,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352244,24,352243,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352243,24,352242,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352244,24,352243,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352245,25,,Augsburg,,>16960712,>16960712,ZZZZZZZZZ,.........
KOL,352246,25,352245,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352247,25,352246,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
KOL,352246,25,352245,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352247,25,352246,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
AKC,352248,26,,Augsburg,,>16960724,>16960724,ZZZZZZZZZ,.........
KOL,352249,26,352248,Fürstlich- Eggenbergische Comoedianten,Fürstlich- Eggenbergische Comoedianten,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
MIS,352250,26,352249,Augsburg,Augsburg,ZZZZZZZZZ,.........,ZZZZZZZZZ,.........
